summary,Category
gresik radarjatimid — penerapan kebijakan bidang ketahanan dan iklim usaha industri dan perwilayahan untuk mendorong para pelaku usaha industri dan kawasan industri mendapat apresiasi dan penghargaan dari kementerian perindustrian kemenperin penghargaan itu diserahkan langsung menteri perindustrian agus gumiwang kartasasmita kepada bupati gresik fandi akhmad yani melalui acara penganugerahan “resilience and sustainable industry” bertajuk “mewujudkan industri yang tangguh dan berkelanjutan” even tersebut digelar di ballroom hotel js luwansa jakarta senin  sebanyak  kepala daerah menerima penganugerahan tersebut bupati gresik menerima penghargaan terbaik pertama kategori peruntukan kawasan industri selain kepala daerah ada  kawasan industri dan  perusaahan industri yang menerima penghargaan tersebut salah satunya diberikan kepada pt petrokimia gresik direktur jenderal ketahanan perwilayahan dan akses industri internasional kementerian perindustrian eko sa cahyanto mengatakan tahun ini menjadi tahun pertama ajang penyelenggaran apresiasi resilience and sustainable industry “ini untuk memberikan penilaian yang lebih objektif dan komprehensif tim teknis penilaian juga bekerja sama dengan para pakar bidang industri dari lembaga independen” ujar eko diharapkan acara penghargaan ini dapat menjadi pendorong bagi industri di indonesia menuju tingkat keunggulan yang lebih tinggi dalam bidang ketahanan dan industri berkelanjutan ia menambahkan inovasi dan komitmen yang ditunjukkan oleh para penerima penghargaan akan menginspirasi banyak pihak termasuk pelaku usaha dan pemerintah daerah untuk lebih aktif dalam menerapkan kebijakan ketahanan dan iklim usaha industri “melalui kolaborasi antara sektor bisnis dan pemerintah kemenperin yakin bahwa indonesia dapat menjadi pusat industri yang tidak hanya tangguh di era ini tetapi juga bertanggung jawab terhadap lingkungan dan masyarakat” tutup eko usai menerima penghargaan bupati gresik yang akrab disapa gus yani mengaku bersyukur atas apresiasi dan penganugerahan yang diberikan kementerian perindustrian “ini menjadi spirit pemerintah kabupaten gresik untuk terus fokus dalam hal perindustrian dan tanggung jawab sosial industri berkelanjutan dapat menciptakan pondasi yang tangguh untuk masa depan sektor industri ia berharap tumbuhnya investasi dan industri selaras dengan pertumbuhan ekonomi di kabupaten gresik yang memberikan dampak positif dalam penurunan angka pengangguran dan kemiskinan “kita tidak puas diri dengan turunnya angka pengangguran dan kemiskinan di tahun ini kita akan terus mendorong tumbuhnya ekonomi yang berdampak langsung kepada kesejahteraan masyarakat di kabupaten gresik” tandasnya sto,Ekonomi Bisnis
sidoarjo radarjatimid ir h bambang haryo soekarto founder bhs peduli bersama tim  berkunjung ke pasar ngaban desa ngaban kecamatan tanggulangin sidoarjo kehadiiran bambang haryo yang ditemui pengelola pasar dalam rangka memberikan apresiasi kepada pedagang sebelum menyerahkan penghargaan bhs panggilan akrabnya menyempatkan berdialog dengan para pedagang dan meninjau dagangan milik pedagang pasar dewan pakar dpp partai gerindra ini juga memberikan bantuan bola lampu penerangan dan pemasangan wifi gratis untuk pasar desa ngaban tanggulangin sidoarjo “pengelolaan pasar desa ngaban sudah baik pasar ini menjadi jujukan warga untuk berbelanja” kata bhs anggota dpr ri periode  ini menambahkan untuk memberikan rasa aman kepada pedagang dan konsumen dari bahaya kebakaran pihaknya juga memberikan bantuan  pengisian alat pemadam kebakaran ringan apar “agar pasarnya lebih terang saya bantu  bola lampu untuk penerangan dan juga wifi untuk pedagang disini” kata bambang haryo yang disambut meriah para pedagang untuk menambah kenyamanan dalam berbelanja di pasar ngaban bhs juga memberikan bantuan sound system pihaknya berharap pasar ngaban semakin besar dan ramai “untuk sambungan wifi saya berikan gratis selama  bulan menjadi pengantar dagangan mereka sampai ke seluruh masyarakat sidoarjo melalui digitalisasi” tegas caleg dpr ri nomer urut  dapil surabayasidoarjo dari partai gerindra ini sedangkan untuk para pedagang yang mendapatkan apresiasi dari bhs peduli yakni juara i diraih rifki yang dinilai pedagang yang displin humble dan barang yang dijual berkwalitas rifki salah satu pedagang sayuran yang berjualan di pasar ngaban sedangkan juara dua diterima ibu khusnul dan juara iii diraih oleh pak kasan dari toko bu rika “atas penghargaan ini kami sampaikan terima kasih kepada bapak bambang haryosaya akan terus meningkatkan kwalitas barang yang saya jual” kata rifki sementara itu kepala pasar ngaban nur rasyid mengatakan berterimakasih atas perhatian dari ir h bambang haryo soekartono dan tim bhs peduli kepada pada pedagang pasar desa ngaban pihaknya berharap bantuanbantuan yang diberikan dapat dimanfaatkan dengan maksimal di pasar ngaban ada an pedagang yang berjualan “kami mengucapkan terima kasih kepada bapak bambang haryo atas kepeduliannya kami berharap apa yang diberikan dapat memberikan manfaat kepada para pedagang” ujar nur rasyid  rjred,Ekonomi Bisnis
surabaya radarjatimid pasangan calon presiden capres dan calon wakil presiden cawapres nomor urut  prabowo subiantogibran rakabuming raka mempunyai sejumlah program yang berfokus pembukaan lapangan kerja luas karena itu prabowogibran makin kuat jadi duet pilihan hati masyarakat di pilpres  pengamat politik universitas airlangga suko widodo mengatakan prabowogibran sangat serius menghadirkan program untuk kebutuhan masyarakat tentu kondisi tersebut membuat prabowogibran sebagai pemimpin yang sangat diharapkan oleh masyarakat “saya melihat program yang menarik untuk masyarakat dari prabowogibran ini ada kesempatan bekerja dan wirausaha tentu ini sangat dibutuhkan oleh rakyat” kata suko selasa  program prabowogibran tersebut tambah dia dikenal dengan sebutan asta cita dalam misinya itu prabowogibran ingin meningkatkan lapangan kerja yang berkualitas mendorong kewirausahaan mengembangkan industri kreatif dan melanjutkan pengembangan infrastruktur mengenai langkah strategis pasangan tersebut mewujudkan lapangan pekerjaan berkualitas dijabarkan pada agenda pertama yakni mendorong kewirausahaan untuk menciptakan lapangan kerja yang berkualitas bahkan prabowogibran telah menggandeng para pengusaha dalam upaya dalam upaya terciptanya jutaan lapangan kerja baru sekaligus mencetak  juta pengusaha baru tentu itu menjadi bukti konkret prabowogibran sangat peduli kepada masyarakat suko menambahkan prabowogibran memang pasangan yang sangat peduli kepada masyarakat sehingga hal itu menarik adanya dukungan dari masyarakat terutama di jawa timur “dengan aktifnya menghadirkan program kepada rakyat prabowogibran ini akan mendapat dukungan” pungkas suko rjred,Ekonomi Bisnis
banyuwangi radarjatimid – dari pusat kota banyuwangi tak perlu waktu lama untuk sampai ke lokasi destinasi wisata wonosari beach sobobanyuwangi para pengunjung pantai wonosari akan dimanjakan dengan pemandangan gunung dan suasana sunset yang sangat bagus dan cocok untuk kaum kalangan muda untuk mengejar potret yang menarik keindahan pantai wonosari tersebut disampaikan oleh m saleh picky a salah satu pengunjung asal desa tambong kecamatan kabat banyuwangi picky sapaan akrabnya mengatakan tidak perlu jauhjauh dari wilayah kota untuk mencari tempat destinasi yang harganya tidak mahal “pantai wonosari ini terletak di wilayah lingkungan wonosari kelurahan sobo banyuwangi jarak pantai wonosari dari pusat kota banyuwangi sangat dekat cukup dengan menempuh waktu  menit saja akses menuju pantai juga mudah bisa diakses dengan mengendarai motor maupun mobil” kata picky saat berkunjung di pantai wonosari minggu  lebih jauh picky menerangkan pantai wonosari dibanjiri pengunjung utamanya pada hari sabtu dan minggu menurutnya masuk dan parkir gratis merupakan salah satu kelebihan dari fasilitas yang disediakan oleh kelompok sadar wisata pokdarwis pawon jaya pria lajang pemerhati lingkungan ini menambahkan pengunjung bisa menikmati jajanan dan makanan yang disediakan oleh warung yang ada dengan harga ekonomis satu hal lagi bagi picky kebersihan di lokasi pantai sangat terjamin “selain menyediakan lahan parkir yang luas pantai wonosari juga menyediakan fasilitas kamar mandi wc yang bersih dan keamanan yang memadai untuk kenyamanan pengunjung” pungkas picky hsnred,Ekonomi Bisnis
sidoarjo radarjatimid founder bhs peduli ir h bambang haryo soekartono memberikan apresiasi kepada pedagang pasar betro sedati sidoarjo jumat  apresiasi dan penghargaan diberikan kepada tiga pedagang terpilih dengan kategori stand terbersih terlaris dan harga yang terjangkau “saya lihat semua komoditas masih dijual dengan harga yang wajar serta kebersihan masih dijaga dengan baik untuk juara l saya berikan pemilik toko sembako h musa juara ll rosul pemilik toko kelontong dan juara lll diperoleh ika pedagang snack”  kata ir h bambang haryo soekartono di pasar betro sedati jumat  selain memberikan apresiasi anggota dpr ri periode  ini juga meninjau dan cek harga komoditas bahan pangan di pasar tradisional yang jadi jujugan warga betro sedati dan sekitarnta  dari pantauannya komoditas pangan di pasar betro masih dalam batas wajar kendati harga cabai rawit dan beras yang masih tinggi“hanya cabai rawit dan beras yang masih tinggi harganya tapi tidak semahal dengan di jakarta nah ini berarti pemerintah daerah sidoarjo dapat mengendalikan harga pangan jauh lebih baik dari pada wilayah lain” ujar bambang haryobambang haryo yang juga caleg partai gerindra nomer  dpr ri dapil sidoarjosurabaya ini menambahkan pemkab sidoarjo dinilai berhasil mengendalikan gejolak harga pangan dari hasil blusukan di pasar betro pihaknya mendapati keluhan sejumlah pedagang terkait infrastruktur dan standar keamanan pasar yang dianggap masih kurang untuk itu dewan pakar dpp partai gerindra ini berharap pemerintah dapat memberikan perhatian lebih terkait infrastruktur pasar mulai dari kondisi lantai lampu peneranganbak sampah hingga alat pemadam kebakaran ringan apar harus disiagakan sebagai upaya antisipasi jika terjadi kebakaran “kita harapkan masyarakat dapat nyaman berbelanja dan pasar menjadi favorit untuk berbelanja kita sangat mengharapkan pemerintah kabupaten betulbetul menggelorakan berbelanja di pasar tradisional karena dari sini ratusan ekonomi runtutan tumbuh” tegasnya untuk apar saat itu diketahui di pasar betro hanya ada  tabung padahal dari  pedagang yang ada harusnya minimal ada  apar “disini hanya ada  tabung dan saya akan memberikan  tabung lagi untuk memastikan keamanan dan keselamatan mereka pedagang dan pengunjungred” pungkas alumni its ini rjred,Ekonomi Bisnis
jakarta radarjatimid beberapa bulan lalu beredar kabar tentang sejumlah fresh graduate kesulitan mencari pekerjaan akibat menunggak pinjaman di paylater kondisi finansial para fresh graduate ini diketahui tidak dalam keadaan baik oleh perusahaan tempat mereka melamar karena skor kreditnya rendah di sistem layanan informasi keuangan slik ojk siapa sangka status tagihan atau keuangan pelamar kerja kini menjadi bahan pertimbangan banyak perusahaan maraknya platform belanja daring yang menawarkan pembayaran dengan mencicil atau dikenal dengan paylater serta platform pinjam uang  cepat dan mudah yang dikenal dengan pinjol telah membuat sebagian milenial menjadikannya solusi untuk membeli barang atau mendapat dana segar kemudahan yang ditawarkan paylater dan pinjol membuat para milenial terlena dan tidak berpikir panjang bahwa menunda pembayaran memang mudah tetapi melakukan kewajiban membayar sangat sulit jika saat jatuh tempo pembayaran belum memiliki dana pada akhirnya ketidakpatuhan membayar utang membuat kondisi keuangan menjadi rumit dan ternyata bisa berujung pada kesulitan mencari kerja bermula dari rasa penasaran karena paylater sedang populer tergiur besaran uang yang mudah didapat bisa dapat pinjaman cepat saat kebutuhan mendesak dan fenomena fomo fear of missing out yakni ketakutan tertinggal momen di ranah daring dan khawatir tidak dapat memanfaatkan kesempatan terbaik menurut media sosial paylater dan pinjol yang tadinya dikira sebagai solusi keuangan malah telah menimbulkan keresahan karena sudah ditandai oleh penagih utang dan banyak yang mendapat ancaman dan teror faculty head sequis quality builder sequis training academy of excellence fandi murdani mengingatkan para milenial agar membatasi belanja dan disiplin menjalankan perencanaan keuangan agar tidak terjebak dalam budaya konsumtif dan demi stabilitas keuangan ia juga menyarankan agar masyarakat menghindari paylater dan pinjol namun jika merasa perlu menggunakannya cek dulu kekuatan finansial apakah saat jatuh tempo akan mampu membayar cicilan dan ketahui dulu cara kerjanya “buatlah perencanaan keuangan dengan detail dan berjangka catat semua pemasukan rencana pengeluaran hingga merekap realisasi pengeluaran pencatatan dapat dilakukan harian mingguan dan bulanan dengan cara ini anda bisa melakukan evaluasi apakah sudah berhemat atau boros anda pun dapat memperkirakan kecukupan dana dalam jangka pendek sehingga cukup dana untuk mempersiapkan masa depan karena pengeluaran saat ini mampu anda biayai dari pendapatan bukan dengan berutang” sebut fandi ini tips dari fandi untuk menjadikan finansial sehat sebagai resolusi akhir tahun sehingga tahun  milenial indonesia memiliki ketahanan finansial  cicilan bukan hanya pokok tapi ada bunga dan denda mengendalikan keinginan belanja sangat penting jika ingin membeli sesuatu yang bukan kebutuhan pokok pertimbangkan peruntukan barang tersebut apakah sangat penting bisa ditunda atau tidak harus dibeli jika harus dipenuhi apakah tersedia dana “jika anda memaksakan diri harus belanja dengan cara bayar belakangan atau dengan pinjaman apalagi jika saat ini masih ada pinjaman berjalan yang belum lunas maka ingatlah ada bunga yang nanti harus dibayar dan denda jika tidak dibayar tepat waktu jika membayar tagihan dengan jumlah minimum berarti beban utang dan bunga pada bulan berikutnya akan bertambah memaksakan diri belanja dan mencicil dapat membuat keuangan tidak stabil dan sudah pasti rencana masa depan akan terganggu” sebut fandi apakah sebutuh itu harus menggunakan paylater fandi mengingatkan para milenial agar berhatihati saat tidak memiliki uang tunai karena bisa saja ada kecenderungan memanfaatkan paylater pikirkan dahulu apakah sudah begitu darurat sehingga belanja tidak dapat ditunda apakah harus dipenuhi dengan paylater “ketika perencanaan keuangan berada di antara kepungan janji manis paylater maka ingat kembali resolusi akhir tahun anda yang ingin menguatkan finansial dengan demikian menjalankan perencanaan keuangan bukan lagi  pilihan antara penting atau tidak penting  apakah perlu atau tidak perlu dijalankan sebaliknya sudah menjadi keharusan dan sangat penting komitmen ini akan membantu anda terhindar dari perilaku belanja impulsif kebocoran tabungan dan lebih mudah menjalankan resolusi tahun baru” sebut fandi pahami skema pembayaran sebelum meminjam pahami skema pelunasannya  termasuk biaya apa saja yang tercantum dalam kontrak pinjamansaat akan mengajukan pinjaman ketahui juga berapa jumlah cicilan beserta bunganya berapa lama masa mencicil berapa denda yang dikenakan jika menunggak atau jika melakukan pelunasan lebih cepat penyedia layanan paylater dan pinjol memiliki skema pembayaran yang berbeda dan akan memberlakukan denda jika peminjam terlambat membayar tagihan waspada risiko peretasan data dan rekening paylater memanfaatkan kemajuan teknologi digital hingga bisa ditemukan dengan mudah oleh semua orang saat membuka aplikasi media sosial berhatihatilah dengan tawaran menarik melalui pesan dan gambar teliti sebelum klik atau membagikan link hatihati juga membagikan foto share lokasi dan data pribadi karena penipuan pada era digital semakin masif termasuk tawaran paylater dan pinjol yang semakin menjamur “pinjaman paylater termasuk dalam transaksi digital sehingga rentan mengalami risiko peretasan atau hacking jangan berbagi info akun paylater sandi pengaman password dan kode otp one time password cek  rekening secara berkala guna mendeteksi jika ada transaksi yang mencurigakan jangan lupa rutin mengganti kata sandi dan segera sign out akun dari aplikasi setelah menyelesaikan transaksi” sebut fandi sudah mau  masa belum punya asuransi selain perencanaan keuangan dan menghindari paylater fandi juga menyarankan untuk mengamankan finansial melalui asuransi jiwa dan kesehatan “memasuki tahun baru  sangat baik jika membuat resolusi terlebih tahun mendatang banyak tantangan ekonomi sosial dan lingkungan di indonesia maupun global para milenial dan keluarga indonesia perlu menjaga likuiditas keuangan  dengan melakukan mitigasi finansial melalui diversifikasi investasi meningkatkan dana darurat dan melengkapi anggota keluarga dengan asuransi jiwa dan asuransi kesehatan” imbuh  fandi penting juga diketahui bahwa selama masa pelunasan cicilan ada kemungkinan serangan sakit atau meninggal dunia pada situasi seperti ini berisiko mengganggu finansial juga kesehatan jiwa dan mental serta menyengsarakan keluarga dengan memiliki asuransi jiwa dan kesehatan maka kewajiban membayar utang tidak terganggu sebab biaya perawatan medis dapat dibayar melalui asuransi kesehatan selama sesuai ketentuan polis atau jika terjadi risiko meninggal dunia terdapat  uang pertanggungan dari asuransi jiwa untuk melunasi utang dan menolong biaya hidup keluarga sequis menyediakan produk asuransi jiwa dan asuransi kesehatan yang dapat dipilih nasabah sesuai kebutuhan seperti asuransi jiwa q smart life new gen insurance dan asuransi kesehatan sequis infinite medcare rider series yang dapat membantu melindungi rencana finansial anda sehingga  bisa merasa aman dan nyaman menjalankan resolusi akhir tahun selamat memasuki tahun baru  rjred,Ekonomi Bisnis
surabaya radarjatimid hush puppies merek fashion asal amerika yang sudah ada sejak  kini kembali membuka store nya di galaxy mall surabaya finka salsabilla putri crm marketing communication mengatakan dengan konsep yang baru store  shoes hadir untuk memanjakan para fashion enthusiast yang mengutamakan kualitas super ekslusif acara reopening ini berlangsung sangat menarik pengunjung terlihat menikmati kegiatan yang berlangsung seperti trunk show dj performance talk show face painting dan masih banyak lagi tak lupa dalam acara ini turut menghadirkan transmarco gift voucher sebagai metode pembayaran yang dapat digunakan di seluruuh store hush puppies transmarco gift voucher merupakan sebuah voucher hadiah resmi yang diluncurkan oleh transmarco group yang menaungi footwear brand ternama seperti obermain hush puppies playboy catterpilar dan lesportsac “transmarco gift voucher tersedia dalam  denominasi yakni mulai dari rp  rp   rp  dapakan berbagai macam keuntungan lainnya untuk seluruh pelanggan setia hush puppies seperti diterima di lebih dari  toko ritel transmarco di seluruh indonesia pengiriman gratis dengan pembelian minimum rp  dan masih banyak lagi” kata finka salsabilla putri crm marketing communication untuk pelanggan yang datang ke store hush puppies galaxy mall surabaya anda bisa mendapatkan transmarco gift voucher secara offline atau kunjungi website transmarcogiftvouchercoid untuk pembelian secara online rjred,Ekonomi Bisnis
sidoarjo radarjatimid founder bambang haryo soekartono bhs disambati pedagang grosir sayur pasar porong akan mahalnya bunga bank kamis  saat itu bhs bersama tim bhs peduli berkunjung ke pasar porong untuk meninjau pemindahan pedagang sayur saat hadir di stand grosir sayur pasar porong caleg dpr ri dapil  surabayasidoarjo dari partai gerindra ini mendapatkan keluhan dari para  pedagang mereka mengeluh besarnya suku bunga kredit stand yang sampai  persen perbulannya “bunga banknya tinggi total harga stand nya rp  juta saya cicil selama  tahun kalau saya hitung sekitar rp  jutaan lebih hampir rp  juta” kata salah satu pedagang sayur selaku pedagang lama pihaknya tidak bisa berbuat banyak saat dialihkan berdagang dilokasi baru untuk lokasi baru diakui memang lebih memadai dibandingkan jualan dilokasi lama hanya persoalan bunga bank  yang dinilai mahal sedangkan bangunan baru yang dikeluhkan atau ada yang bocor saat musim hujan seperti diketahui grosir sayur di pasar porong yang baru saja diresmikan dibangun dari apbd dan swadaya paguyuban melalui pembiayaan dari bank delta artha milik pemkab sidoarjo ir h bambang haryo soekartono yang mendapat keluhan bunga bank yang masih tinggi terhadap pelaku usaha mikro kecil menengah ini menegaskan bakal segera melakukan koordinasi dengan pihak terkait termasuk komisi b dprd sidoarjo bambang pujianto yang merupakan anggota fraksi partai gerindra dprd sidoarjo “sangat tidak masuk akal dan tidak manusiawi karena umkm atau usaha mikro itu harus diberikan bunga yang rendah kalau di bumn itu bunga nya  persen pertahun harus nya di bumd bisa  persen juga tapi kenapa disini mereka menerapkan bunga  persen perbulan kalau dikali selama  tahun jadi  persen” kata dewan pakar partai gerindra ini anggota dpr ri periode  ini menambahkan hal ini menjadi perhatian dan meminta pemerintah melalui dinas terkait untuk merubah suku bunga kredit stand para pedagang di grosir sayur menjadi persen sesuai ketentuan kredit untuk umkm “kalau suku bunganya gak dirubah saya siap untuk menjembatani para pedagang ke bank bumn untuk di take over bumd harusnya lebih murah suku bunganya untuk umkm” pungkasnya rjred,Ekonomi Bisnis
surabaya radarjatimid – hush puppies merek fashion asal amerika yang sudah ada sejak  kini kembali membuka store nya di galaxy mall surabaya dengan konsep yang baru store hush puppies hadir untuk memanjakan para fashion enthusiast yang mengutamakan kualitas super ekslusif acara reopening ini selain hadir dengan konsep yang lebih modern ada banyak kegiatan seru yang menghibur seperti product knowledge event dan promo yang menarik tak lupa dalam acara ini turut menghadirkan tocard yakni sebuah membership program yang diluncurkan oleh transmarco group yang menaungi fashion brand ternama seperti hush puppies obermain playboy catterpilar dan lesportsac finka salsabilla putri crm marketing communication mengatakan sejak maret  tocard memberikan berbagai macam keuntungan untuk pelanggan setia hush puppies “seperti free registration free  point rewards pada setiap pembelanjaan senilai rp  dan masih banyak keuntungan lainnya” ujar finka salsabilla putri untuk pelanggan yang datang ke store hush puppies galaxy mall surabaya nikmati promo special edisi mega bounce collection yang memberikan keuntungan free gift dapatkan keuntungan lainnya dari tocard dengan melakukan registrasi online melalui tocardtransmarcoasia informasi lebih lengkap dapat kunjungi instagram tocardid rjred,Ekonomi Bisnis
bangkok radarjatimid  merayakan satu abad eksistensi globalnya morris garages mg perusahaan otomotif legendaris yang dikenal akan inovasi dan desainnya hari ini memperkenalkan dua model terbarunya yang siap mengubah landskap kendaraan listrik di asia tenggara khususnya di indonesia mg cyberster dan im ls peluncuran inovatif ini yang bertepatan dengan peringatan  tahun mg dilakukan pada event prestisius thailand international motor expo  menandai langkah besar mg dalam evolusi kendaraan listrik sebagai pemimpin di industri otomotif mg terus memperlihatkan komitmennya dalam mengembangkan kendaraan yang tidak hanya canggih tetapi juga berkelanjutan sejalan dengan sejarah panjang mereka dalam inovasi otomotif mg cyberster sebuah roadster listrik konvertibel dengan gaya sporty menggabungkan estetika yang memukau dengan performa yang luar biasa dibekali dengan dua motor yang mampu memberikan daya maksimum dan kapasitas baterai  kwh cyberster menawarkan jangkauan hingga  km per pengisian menjadikannya solusi mobilitas yang tidak hanya stylish tetapi juga berkelanjutan desain futuristiknya dengan automatic scissor doors menambah keunikan yang membedakan cyberster di jalanan di sisi lain im ls sebuah suv coupe listrik memamerkan kemajuan mg dalam teknologi dan desain dilengkapi dengan fiturfitur canggih seperti sistem navigasi berbasis ai im ls menawarkan pengalaman berkendara yang inovatif dan nyaman performanya yang mengesankan dengan akselerasi cepat dan kecanggihan teknologi menjadikan im ls pilihan utama bagi konsumen modern yang mencari kombinasi kemewahan dan teknologi terbaru arief syarifudin marketing  pr director mg motor indonesia menyatakan pihaknya sangat bangga dan antusias memperkenalkan mg cyberster dan im ls kedua model ini merupakan simbol dari inovasi dan komitmen kami dalam memimpin era baru mobilitas listrik “kami yakin bahwa kedua kendaraan ini akan diterima dengan sangat baik di indonesia sesuai dengan kebutuhan pasar yang dinamis dan beragam” katanya mg motor indonesia juga menegaskan kembali komitmennya terhadap keberlanjutan lingkungan di indonesia dengan adanya pabrik yang memproduksi suv new mg zs ev dan mg  ev mg menunjukkan dedikasinya dalam mempercepat transformasi kendaraan listrik di indonesia kehadiran kedua kendaraan ini menambahkan variasi pada portofolio produk mg di indonesia sekaligus menegaskan posisi mg sebagai pemimpin dalam industri otomotif ramah lingkungan antisipasi peluncuran di indonesia dengan peluncuran mg cyberster dan im ls yang telah menarik perhatian di thailand international motor expo  pertanyaan yang muncul adalah kapan kedua kendaraan penuh inovasi ini akan hadir di indonesia mg motor indonesia selalu berada di garis terdepan dalam membawa teknologi kendaraan terkini berencana untuk mengumumkan tanggal peluncuran resmi dalam waktu dekat kedatangan kedua model ini di tanah air tidak hanya diharapkan dapat memperkaya pilihan kendaraan listrik di pasar indonesia tetapi juga meredefinisi ekspektasi konsumen indonesia terhadap performa desain dan keberlanjutan kendaraan masa depan “mg motor indonesia terus berkomitmen untuk menghadirkan inovasi dan teknologi terbaru di industri otomotif sesuai dengan visi global perusahaan untuk mendukung mobilitas yang lebih hijau dan efisien dengan mg cyberster dan im ls mg tidak hanya menjanjikan kendaraan yang efisien dan canggih tetapi juga pengalaman berkendara yang unik dan memuaskan bagi konsumen indonesia” tutup arief rjred,Ekonomi Bisnis
